Company_Name,Industry,Company_Size,LinkedIn_URL,Website_URL,HQ_City,HQ_State,Annual_Revenue_Est,Tech_Stack,Current_AI_Tools,Recent_Signal,Copilot_Licenses_Est,Last_Enriched
Pacific Group,Healthcare,5001-10000,https://linkedin.com/company/pacific-group,https://www.pacificgroup.com,Charlotte,NY,$50M-$100M,Microsoft 365 + Salesforce,Multiple AI Tools,Leadership Change,<50,2024-11-20
Ironclad Services,Technology,1001-5000,https://linkedin.com/company/ironclad-services,https://www.ironcladservices.com,Chicago,MA,$1B+,Mixed/Legacy,ChatGPT,IPO Filing,<50,2024-11-23
Sterling Group,Manufacturing,201-500,https://linkedin.com/company/sterling-group,https://www.sterlinggroup.com,New York,NC,$50M-$100M,Microsoft 365 + SAP,Multiple AI Tools,Leadership Change,0,2024-12-05
Nexus Resources,Consulting,5001-10000,https://linkedin.com/company/nexus-resources,https://www.nexusresources.com,Denver,NC,$1B+,Google Workspace,ChatGPT,Expansion Announcement,<50,2024-12-05
Westfield LLC,Logistics,51-200,https://linkedin.com/company/westfield-llc,https://www.westfieldllc.com,Chicago,NY,$500M-$1B,Microsoft 365 + Salesforce,Multiple AI Tools,Expansion Announcement,0,2024-12-08
Eastwick Technologies,Financial Services,1001-5000,https://linkedin.com/company/eastwick-technologies,https://www.eastwicktechnologies.com,Los Angeles,WA,$500M-$1B,Microsoft 365 + Salesforce,Microsoft Copilot,Series C Funding,500+,2024-10-08
Fortress Partners,Logistics,5001-10000,https://linkedin.com/company/fortress-partners,https://www.fortresspartners.com,Chicago,GA,$100M-$500M,Microsoft 365,Multiple AI Tools,IPO Filing,0,2024-11-11
Meridian Group,Legal,1001-5000,https://linkedin.com/company/meridian-group,https://www.meridiangroup.com,Boston,GA,$100M-$500M,Microsoft 365,Microsoft Copilot,Expansion Announcement,0,2024-10-07
Archway Group,Retail,5001-10000,https://linkedin.com/company/archway-group,https://www.archwaygroup.com,Los Angeles,IL,$100M-$500M,Microsoft 365 + SAP,None Known,IPO Filing,500+,2024-11-08
Ironclad Management,Technology,5001-10000,https://linkedin.com/company/ironclad-management,https://www.ironcladmanagement.com,Dallas,NY,$500M-$1B,Microsoft 365 + SAP,None Known,IPO Filing,200-500,2024-11-12
Beacon Associates,Healthcare,51-200,https://linkedin.com/company/beacon-associates,https://www.beaconassociates.com,New York,CO,$50M-$100M,Microsoft 365 + SAP,Custom LLM,Expansion Announcement,0,2024-10-13
Horizon Technologies,Logistics,501-1000,https://linkedin.com/company/horizon-technologies,https://www.horizontechnologies.com,Seattle,CO,$1B+,Microsoft 365,Multiple AI Tools,IPO Filing,<50,2024-10-01
Beacon Partners,Healthcare,51-200,https://linkedin.com/company/beacon-partners,https://www.beaconpartners.com,Los Angeles,GA,$50M-$100M,Microsoft 365 + Salesforce,Microsoft Copilot,Expansion Announcement,0,2024-11-18
Harbor Capital,Consulting,201-500,https://linkedin.com/company/harbor-capital,https://www.harborcapital.com,Denver,MA,$100M-$500M,Mixed/Legacy,None Known,Hiring Surge,<50,2024-10-14
Cascade Partners,Real Estate,5001-10000,https://linkedin.com/company/cascade-partners,https://www.cascadepartners.com,Chicago,CO,$1B+,Microsoft 365 + SAP,ChatGPT,New Product Launch,50-200,2024-12-28
Cascade Holdings,Energy,51-200,https://linkedin.com/company/cascade-holdings,https://www.cascadeholdings.com,San Francisco,CO,$10M-$50M,Microsoft 365 + Salesforce,ChatGPT,New Product Launch,<50,2024-10-21
Summit Network,Retail,1001-5000,https://linkedin.com/company/summit-network,https://www.summitnetwork.com,Denver,CA,$500M-$1B,Microsoft 365,None Known,Expansion Announcement,0,2024-11-09
Apex Partners,Healthcare,10000+,https://linkedin.com/company/apex-partners,https://www.apexpartners.com,Charlotte,CA,$500M-$1B,Microsoft 365,Microsoft Copilot,Expansion Announcement,0,2024-12-13
Nexus Network,Manufacturing,201-500,https://linkedin.com/company/nexus-network,https://www.nexusnetwork.com,Chicago,IL,$500M-$1B,Microsoft 365 + Salesforce,Custom LLM,Leadership Change,0,2024-11-14
Atlas Enterprises,Legal,10000+,https://linkedin.com/company/atlas-enterprises,https://www.atlasenterprises.com,Chicago,CA,$500M-$1B,Microsoft 365,ChatGPT,Series C Funding,0,2024-10-01
Apex Enterprises,Retail,1001-5000,https://linkedin.com/company/apex-enterprises,https://www.apexenterprises.com,Chicago,CO,$500M-$1B,Google Workspace,Custom LLM,New Product Launch,0,2024-12-15
Nexus Ventures,Consulting,51-200,https://linkedin.com/company/nexus-ventures,https://www.nexusventures.com,Denver,NY,$1B+,Google Workspace,ChatGPT,Hiring Surge,0,2024-12-16
Nexus Solutions,Real Estate,51-200,https://linkedin.com/company/nexus-solutions,https://www.nexussolutions.com,San Francisco,MA,$50M-$100M,Google Workspace,Microsoft Copilot,Expansion Announcement,0,2024-11-02
Sterling International,Consulting,201-500,https://linkedin.com/company/sterling-international,https://www.sterlinginternationa.com,Chicago,NC,$1B+,Mixed/Legacy,ChatGPT,Series C Funding,200-500,2024-11-14
Harbor Solutions,Consulting,51-200,https://linkedin.com/company/harbor-solutions,https://www.harborsolutions.com,Boston,MA,$10M-$50M,Microsoft 365,Custom LLM,Series C Funding,0,2024-10-18
Westfield International,Financial Services,51-200,https://linkedin.com/company/westfield-international,https://www.westfieldinternation.com,Los Angeles,CA,$500M-$1B,Microsoft 365 + Salesforce,ChatGPT,Leadership Change,0,2024-12-16
Meridian Advisors,Retail,10000+,https://linkedin.com/company/meridian-advisors,https://www.meridianadvisors.com,Denver,CA,$10M-$50M,Microsoft 365 + SAP,Multiple AI Tools,None Detected,200-500,2024-12-04
Archway Solutions,Retail,51-200,https://linkedin.com/company/archway-solutions,https://www.archwaysolutions.com,Los Angeles,CA,$500M-$1B,Microsoft 365 + Salesforce,Custom LLM,Expansion Announcement,0,2024-10-20
Titan Global,Retail,5001-10000,https://linkedin.com/company/titan-global,https://www.titanglobal.com,Los Angeles,CO,$1B+,Mixed/Legacy,ChatGPT,IPO Filing,<50,2024-12-10
Westfield Holdings,Real Estate,1001-5000,https://linkedin.com/company/westfield-holdings,https://www.westfieldholdings.com,Boston,TX,$100M-$500M,Microsoft 365 + SAP,ChatGPT,Digital Transformation Initiative,50-200,2024-12-11
Archway Network,Financial Services,51-200,https://linkedin.com/company/archway-network,https://www.archwaynetwork.com,Atlanta,CO,$500M-$1B,Google Workspace,Custom LLM,New Product Launch,<50,2024-12-21
Meridian Consulting,Technology,51-200,https://linkedin.com/company/meridian-consulting,https://www.meridianconsulting.com,San Francisco,CA,$10M-$50M,Microsoft 365 + Salesforce,ChatGPT,Digital Transformation Initiative,<50,2024-11-11
Cascade Network,Consulting,5001-10000,https://linkedin.com/company/cascade-network,https://www.cascadenetwork.com,San Francisco,CA,$500M-$1B,Microsoft 365 + SAP,None Known,M&A Activity,0,2024-12-21
Archway Consulting,Logistics,10000+,https://linkedin.com/company/archway-consulting,https://www.archwayconsulting.com,Atlanta,GA,$1B+,Microsoft 365 + Salesforce,ChatGPT,Digital Transformation Initiative,200-500,2024-11-27
Meridian Partners,Manufacturing,1001-5000,https://linkedin.com/company/meridian-partners,https://www.meridianpartners.com,Dallas,IL,$1B+,Microsoft 365 + SAP,None Known,New Product Launch,0,2024-10-09
Titan Capital,Healthcare,1001-5000,https://linkedin.com/company/titan-capital,https://www.titancapital.com,Denver,IL,$500M-$1B,Microsoft 365,ChatGPT,Expansion Announcement,200-500,2024-11-04
Pinnacle International,Energy,5001-10000,https://linkedin.com/company/pinnacle-international,https://www.pinnacleinternationa.com,San Francisco,NC,$100M-$500M,Microsoft 365 + Salesforce,None Known,IPO Filing,50-200,2024-12-25
Atlas LLC,Legal,1001-5000,https://linkedin.com/company/atlas-llc,https://www.atlasllc.com,Chicago,GA,$1B+,Microsoft 365 + Salesforce,Custom LLM,None Detected,200-500,2024-10-23
Pinnacle Corp,Manufacturing,51-200,https://linkedin.com/company/pinnacle-corp,https://www.pinnaclecorp.com,Denver,IL,$50M-$100M,Microsoft 365,Multiple AI Tools,IPO Filing,50-200,2024-12-18
Westfield Associates,Retail,1001-5000,https://linkedin.com/company/westfield-associates,https://www.westfieldassociates.com,Seattle,IL,$100M-$500M,Microsoft 365 + SAP,Microsoft Copilot,New Product Launch,0,2024-10-10
Bluestone Corp,Technology,201-500,https://linkedin.com/company/bluestone-corp,https://www.bluestonecorp.com,Charlotte,WA,$10M-$50M,Microsoft 365 + Salesforce,Multiple AI Tools,Digital Transformation Initiative,0,2024-12-14
Archway Holdings,Logistics,10000+,https://linkedin.com/company/archway-holdings,https://www.archwayholdings.com,Atlanta,NC,$100M-$500M,Microsoft 365,Custom LLM,M&A Activity,50-200,2024-10-22
Archway Partners,Technology,5001-10000,https://linkedin.com/company/archway-partners,https://www.archwaypartners.com,Los Angeles,TX,$50M-$100M,Google Workspace,None Known,Hiring Surge,0,2024-12-01
Northbridge Associates,Consulting,1001-5000,https://linkedin.com/company/northbridge-associates,https://www.northbridgeassociate.com,Boston,GA,$50M-$100M,Mixed/Legacy,None Known,Hiring Surge,0,2024-10-13
Pinnacle Systems,Logistics,10000+,https://linkedin.com/company/pinnacle-systems,https://www.pinnaclesystems.com,San Francisco,TX,$10M-$50M,Mixed/Legacy,ChatGPT,New Product Launch,0,2024-12-02
Cornerstone Capital,Energy,10000+,https://linkedin.com/company/cornerstone-capital,https://www.cornerstonecapital.com,Dallas,CO,$100M-$500M,Microsoft 365 + Salesforce,None Known,Digital Transformation Initiative,0,2024-12-03
Pacific Corp,Legal,1001-5000,https://linkedin.com/company/pacific-corp,https://www.pacificcorp.com,New York,GA,$50M-$100M,Microsoft 365 + Salesforce,Multiple AI Tools,Expansion Announcement,<50,2024-12-22
Clearwater Ventures,Financial Services,10000+,https://linkedin.com/company/clearwater-ventures,https://www.clearwaterventures.com,Denver,NY,$1B+,Mixed/Legacy,None Known,Digital Transformation Initiative,500+,2024-10-15
Summit Corp,Technology,1001-5000,https://linkedin.com/company/summit-corp,https://www.summitcorp.com,Denver,NY,$50M-$100M,Google Workspace,Multiple AI Tools,Series C Funding,0,2024-10-10
Orion Advisors,Energy,1001-5000,https://linkedin.com/company/orion-advisors,https://www.orionadvisors.com,Los Angeles,NC,$10M-$50M,Microsoft 365,None Known,Hiring Surge,500+,2024-10-11
Crestview Enterprises,Healthcare,5001-10000,https://linkedin.com/company/crestview-enterprises,https://www.crestviewenterprises.com,Charlotte,CA,$1B+,Microsoft 365,None Known,New Product Launch,200-500,2024-10-06
Titan Services,Legal,501-1000,https://linkedin.com/company/titan-services,https://www.titanservices.com,Los Angeles,MA,$10M-$50M,Mixed/Legacy,Custom LLM,Leadership Change,0,2024-10-05
Meridian Services,Manufacturing,1001-5000,https://linkedin.com/company/meridian-services,https://www.meridianservices.com,Atlanta,GA,$100M-$500M,Mixed/Legacy,Multiple AI Tools,IPO Filing,<50,2024-11-19
Archway Advisors,Retail,51-200,https://linkedin.com/company/archway-advisors,https://www.archwayadvisors.com,Chicago,NC,$50M-$100M,Microsoft 365 + SAP,Microsoft Copilot,M&A Activity,50-200,2024-12-03
Horizon Enterprises,Real Estate,10000+,https://linkedin.com/company/horizon-enterprises,https://www.horizonenterprises.com,Atlanta,MA,$500M-$1B,Google Workspace,Multiple AI Tools,Leadership Change,0,2024-12-05
Titan Network,Real Estate,1001-5000,https://linkedin.com/company/titan-network,https://www.titannetwork.com,Boston,NC,$10M-$50M,Microsoft 365 + SAP,Custom LLM,Expansion Announcement,0,2024-10-17
Vector Global,Energy,51-200,https://linkedin.com/company/vector-global,https://www.vectorglobal.com,New York,GA,$10M-$50M,Microsoft 365 + Salesforce,Microsoft Copilot,M&A Activity,500+,2024-11-27
Ridgeline Associates,Consulting,201-500,https://linkedin.com/company/ridgeline-associates,https://www.ridgelineassociates.com,New York,IL,$1B+,Mixed/Legacy,None Known,Leadership Change,500+,2024-12-12
Cascade Group,Consulting,501-1000,https://linkedin.com/company/cascade-group,https://www.cascadegroup.com,Atlanta,CA,$500M-$1B,Mixed/Legacy,None Known,Hiring Surge,200-500,2024-12-10
Horizon Global,Real Estate,5001-10000,https://linkedin.com/company/horizon-global,https://www.horizonglobal.com,Boston,CO,$500M-$1B,Microsoft 365,None Known,Hiring Surge,50-200,2024-12-03
Clearwater Resources,Legal,501-1000,https://linkedin.com/company/clearwater-resources,https://www.clearwaterresources.com,Atlanta,GA,$10M-$50M,Microsoft 365 + SAP,ChatGPT,Hiring Surge,500+,2024-10-20
Luminary Technologies,Technology,10000+,https://linkedin.com/company/luminary-technologies,https://www.luminarytechnologies.com,Los Angeles,CA,$10M-$50M,Mixed/Legacy,Custom LLM,M&A Activity,0,2024-11-05
Crestview Resources,Retail,51-200,https://linkedin.com/company/crestview-resources,https://www.crestviewresources.com,Denver,NY,$1B+,Microsoft 365 + Salesforce,Custom LLM,Expansion Announcement,<50,2024-11-02
Granite Associates,Legal,201-500,https://linkedin.com/company/granite-associates,https://www.graniteassociates.com,Dallas,WA,$50M-$100M,Microsoft 365,ChatGPT,New Product Launch,<50,2024-10-07
Cascade Corp,Consulting,1001-5000,https://linkedin.com/company/cascade-corp,https://www.cascadecorp.com,Boston,MA,$1B+,Microsoft 365 + SAP,Microsoft Copilot,Expansion Announcement,50-200,2024-11-09
Cornerstone Global,Real Estate,1001-5000,https://linkedin.com/company/cornerstone-global,https://www.cornerstoneglobal.com,Dallas,TX,$1B+,Mixed/Legacy,None Known,M&A Activity,0,2024-11-17
Atlas Capital,Financial Services,51-200,https://linkedin.com/company/atlas-capital,https://www.atlascapital.com,San Francisco,CA,$100M-$500M,Microsoft 365 + SAP,Microsoft Copilot,New Product Launch,0,2024-10-16
Cascade Global,Financial Services,1001-5000,https://linkedin.com/company/cascade-global,https://www.cascadeglobal.com,Charlotte,WA,$100M-$500M,Mixed/Legacy,ChatGPT,Series C Funding,500+,2024-11-08
Crestview Capital,Healthcare,10000+,https://linkedin.com/company/crestview-capital,https://www.crestviewcapital.com,Dallas,WA,$100M-$500M,Microsoft 365,Custom LLM,Expansion Announcement,50-200,2024-10-17
Crestview International,Energy,1001-5000,https://linkedin.com/company/crestview-international,https://www.crestviewinternation.com,Charlotte,CA,$1B+,Google Workspace,Custom LLM,Leadership Change,<50,2024-12-13
Eastwick International,Healthcare,501-1000,https://linkedin.com/company/eastwick-international,https://www.eastwickinternationa.com,Seattle,IL,$1B+,Microsoft 365,Microsoft Copilot,Series C Funding,50-200,2024-10-04
Cascade Systems,Retail,1001-5000,https://linkedin.com/company/cascade-systems,https://www.cascadesystems.com,Boston,CA,$1B+,Mixed/Legacy,None Known,Series C Funding,0,2024-10-09
Horizon Ventures,Legal,1001-5000,https://linkedin.com/company/horizon-ventures,https://www.horizonventures.com,New York,TX,$1B+,Microsoft 365 + Salesforce,ChatGPT,IPO Filing,0,2024-12-27
Pacific Associates,Legal,501-1000,https://linkedin.com/company/pacific-associates,https://www.pacificassociates.com,Dallas,CA,$500M-$1B,Google Workspace,Microsoft Copilot,Leadership Change,200-500,2024-11-02
Crestview Corp,Healthcare,201-500,https://linkedin.com/company/crestview-corp,https://www.crestviewcorp.com,Dallas,NY,$1B+,Google Workspace,Multiple AI Tools,M&A Activity,0,2024-12-20
Meridian Corp,Consulting,5001-10000,https://linkedin.com/company/meridian-corp,https://www.meridiancorp.com,Denver,GA,$50M-$100M,Google Workspace,None Known,IPO Filing,0,2024-12-09
Summit Services,Technology,10000+,https://linkedin.com/company/summit-services,https://www.summitservices.com,Dallas,CA,$100M-$500M,Microsoft 365 + SAP,Microsoft Copilot,Hiring Surge,50-200,2024-11-28
Eastwick Services,Technology,10000+,https://linkedin.com/company/eastwick-services,https://www.eastwickservices.com,Atlanta,IL,$100M-$500M,Google Workspace,Multiple AI Tools,Expansion Announcement,200-500,2024-12-25
Archway Resources,Energy,51-200,https://linkedin.com/company/archway-resources,https://www.archwayresources.com,Boston,GA,$50M-$100M,Microsoft 365,Microsoft Copilot,M&A Activity,500+,2024-10-02
Horizon Corp,Legal,51-200,https://linkedin.com/company/horizon-corp,https://www.horizoncorp.com,New York,MA,$10M-$50M,Microsoft 365,Custom LLM,None Detected,<50,2024-11-24
Atlas Associates,Real Estate,5001-10000,https://linkedin.com/company/atlas-associates,https://www.atlasassociates.com,Chicago,CA,$10M-$50M,Mixed/Legacy,Multiple AI Tools,Leadership Change,500+,2024-11-26
Eastwick Partners,Healthcare,1001-5000,https://linkedin.com/company/eastwick-partners,https://www.eastwickpartners.com,Atlanta,NY,$1B+,Microsoft 365,None Known,Hiring Surge,0,2024-12-02
Nexus Capital,Energy,5001-10000,https://linkedin.com/company/nexus-capital,https://www.nexuscapital.com,San Francisco,WA,$10M-$50M,Google Workspace,Microsoft Copilot,IPO Filing,0,2024-12-24
Cascade Enterprises,Financial Services,51-200,https://linkedin.com/company/cascade-enterprises,https://www.cascadeenterprises.com,Los Angeles,NY,$1B+,Mixed/Legacy,Microsoft Copilot,M&A Activity,0,2024-11-10
Keystone Consulting,Financial Services,10000+,https://linkedin.com/company/keystone-consulting,https://www.keystoneconsulting.com,Dallas,NY,$1B+,Google Workspace,ChatGPT,None Detected,0,2024-11-28
Fortress Solutions,Healthcare,501-1000,https://linkedin.com/company/fortress-solutions,https://www.fortresssolutions.com,Atlanta,NC,$10M-$50M,Mixed/Legacy,None Known,M&A Activity,200-500,2024-12-17
Cornerstone Consulting,Energy,501-1000,https://linkedin.com/company/cornerstone-consulting,https://www.cornerstoneconsultin.com,Los Angeles,WA,$10M-$50M,Microsoft 365,ChatGPT,Hiring Surge,50-200,2024-10-02
Luminary Management,Legal,501-1000,https://linkedin.com/company/luminary-management,https://www.luminarymanagement.com,Seattle,CO,$1B+,Microsoft 365 + SAP,None Known,Expansion Announcement,0,2024-10-20
Summit Advisors,Real Estate,201-500,https://linkedin.com/company/summit-advisors,https://www.summitadvisors.com,Seattle,IL,$50M-$100M,Mixed/Legacy,Multiple AI Tools,Digital Transformation Initiative,50-200,2024-11-01
Orion Partners,Consulting,201-500,https://linkedin.com/company/orion-partners,https://www.orionpartners.com,New York,CO,$500M-$1B,Microsoft 365 + Salesforce,Multiple AI Tools,Expansion Announcement,50-200,2024-10-08
Eastwick Systems,Financial Services,201-500,https://linkedin.com/company/eastwick-systems,https://www.eastwicksystems.com,Atlanta,TX,$1B+,Google Workspace,Microsoft Copilot,Hiring Surge,0,2024-11-08
Apex Global,Retail,10000+,https://linkedin.com/company/apex-global,https://www.apexglobal.com,Chicago,MA,$10M-$50M,Mixed/Legacy,Microsoft Copilot,New Product Launch,0,2024-10-23
Bluestone Services,Retail,5001-10000,https://linkedin.com/company/bluestone-services,https://www.bluestoneservices.com,Charlotte,CA,$50M-$100M,Microsoft 365 + SAP,Microsoft Copilot,Hiring Surge,<50,2024-12-10
