Month,Year,Product_Line,Region,Revenue,COGS,Gross_Profit,Gross_Margin_Pct,Units_Sold,ASP,Discount_Amount,Discount_Pct,Channel,Sales_Rep_ID,Customer_Segment
August,2024,Support & Maintenance,Northeast,231000,69300,161700,70.0,462,500,0,0.0,Direct,SR-011,Enterprise
August,2024,Support & Maintenance,West,332000,99600,232400,70.0,664,500,0,0.0,Direct,SR-044,Enterprise
August,2024,Training,Northeast,101000,50500,50500,50.0,50,2020,0,0.0,Online,SR-013,Mid-Market
August,2024,Training,West,148000,74000,74000,50.0,74,2000,7400,5.0,Online,SR-046,Enterprise
September,2024,Enterprise SaaS,Northeast,2534000,760200,1773800,70.0,201,12607,253400,10.0,Direct,SR-011,Enterprise
September,2024,Enterprise SaaS,Southeast,1598000,479400,1118600,70.0,127,12583,159800,10.0,Direct,SR-022,Enterprise
September,2024,Enterprise SaaS,Midwest,1456000,436800,1019200,70.0,117,12444,145600,10.0,Partner,SR-033,Mid-Market
September,2024,Enterprise SaaS,West,3345000,1003500,2341500,70.0,266,12575,334500,10.0,Direct,SR-044,Enterprise
September,2024,Professional Services,Northeast,578000,346800,231200,40.0,116,4983,28900,5.0,Direct,SR-012,Enterprise
September,2024,Professional Services,West,867000,520200,346800,40.0,144,6021,43350,5.0,Direct,SR-045,Enterprise
September,2024,Support & Maintenance,Northeast,244000,73200,170800,70.0,488,500,0,0.0,Direct,SR-011,Enterprise
September,2024,Support & Maintenance,West,348000,104400,243600,70.0,696,500,0,0.0,Direct,SR-044,Enterprise
September,2024,Training,Northeast,108000,54000,54000,50.0,54,2000,0,0.0,Online,SR-013,Mid-Market
September,2024,Training,West,157000,78500,78500,50.0,78,2013,7850,5.0,Online,SR-046,Enterprise
October,2024,Enterprise SaaS,Northeast,2678000,803400,1874600,70.0,213,12572,267800,10.0,Direct,SR-011,Enterprise
October,2024,Enterprise SaaS,Southeast,1689000,506700,1182300,70.0,134,12604,168900,10.0,Direct,SR-022,Enterprise
October,2024,Enterprise SaaS,Midwest,1534000,460200,1073800,70.0,123,12472,153400,10.0,Partner,SR-033,Mid-Market
October,2024,Enterprise SaaS,West,3512000,1053600,2458400,70.0,279,12588,351200,10.0,Direct,SR-044,Enterprise
October,2024,Professional Services,Northeast,612000,367200,244800,40.0,122,5016,30600,5.0,Direct,SR-012,Enterprise
October,2024,Professional Services,West,912000,547200,364800,40.0,152,6000,45600,5.0,Direct,SR-045,Enterprise
October,2024,Support & Maintenance,Northeast,256000,76800,179200,70.0,512,500,0,0.0,Direct,SR-011,Enterprise
October,2024,Support & Maintenance,West,362000,108600,253400,70.0,724,500,0,0.0,Direct,SR-044,Enterprise
October,2024,Training,Northeast,113000,56500,56500,50.0,56,2018,0,0.0,Online,SR-013,Mid-Market
October,2024,Training,West,164000,82000,82000,50.0,82,2000,8200,5.0,Online,SR-046,Enterprise
November,2024,Enterprise SaaS,Northeast,2845000,853500,1991500,70.0,226,12588,284500,10.0,Direct,SR-011,Enterprise
November,2024,Enterprise SaaS,Southeast,1798000,539400,1258600,70.0,143,12573,179800,10.0,Direct,SR-022,Enterprise
November,2024,Enterprise SaaS,Midwest,1623000,486900,1136100,70.0,130,12485,162300,10.0,Partner,SR-033,Mid-Market
November,2024,Enterprise SaaS,West,3734000,1120200,2613800,70.0,297,12573,373400,10.0,Direct,SR-044,Enterprise
November,2024,Professional Services,Northeast,645000,387000,258000,40.0,129,5000,32250,5.0,Direct,SR-012,Enterprise
November,2024,Professional Services,West,956000,573600,382400,40.0,159,6013,47800,5.0,Direct,SR-045,Enterprise
November,2024,Support & Maintenance,Northeast,267000,80100,186900,70.0,534,500,0,0.0,Direct,SR-011,Enterprise
November,2024,Support & Maintenance,West,378000,113400,264600,70.0,756,500,0,0.0,Direct,SR-044,Enterprise
November,2024,Training,Northeast,117000,58500,58500,50.0,58,2017,0,0.0,Online,SR-013,Mid-Market
November,2024,Training,West,169000,84500,84500,50.0,84,2012,8450,5.0,Online,SR-046,Enterprise
December,2024,Enterprise SaaS,Northeast,3123000,936900,2186100,70.0,248,12593,312300,10.0,Direct,SR-011,Enterprise
December,2024,Enterprise SaaS,Southeast,1978000,593400,1384600,70.0,157,12599,197800,10.0,Direct,SR-022,Enterprise
December,2024,Enterprise SaaS,Midwest,1789000,536700,1252300,70.0,143,12510,178900,10.0,Partner,SR-033,Mid-Market
December,2024,Enterprise SaaS,West,4123000,1236900,2886100,70.0,328,12570,412300,10.0,Direct,SR-044,Enterprise
December,2024,Professional Services,Northeast,712000,427200,284800,40.0,142,5014,35600,5.0,Direct,SR-012,Enterprise
December,2024,Professional Services,West,1045000,627000,418000,40.0,174,6006,52250,5.0,Direct,SR-045,Enterprise
December,2024,Support & Maintenance,Northeast,289000,86700,202300,70.0,578,500,0,0.0,Direct,SR-011,Enterprise
December,2024,Support & Maintenance,West,412000,123600,288400,70.0,824,500,0,0.0,Direct,SR-044,Enterprise
December,2024,Training,Northeast,128000,64000,64000,50.0,64,2000,0,0.0,Online,SR-013,Mid-Market
December,2024,Training,West,187000,93500,93500,50.0,93,2011,9350,5.0,Online,SR-046,Enterprise
