Ticket_ID,Created_Date,Resolved_Date,Resolution_Hours,Company,Department,Product,Issue_Type,Priority,Status,Issue_Summary,Resolution_Notes,CSAT_Score,Escalated,Reopened,Agent_ID
TKT-10020,2024-12-13,2024-12-13 00:00,20,Meridian Financial Group,Legal,Outlook Copilot,Bug Report,P3-Medium,Resolved,Copilot Chat losing conversation context after 45-minute idle period,Root cause identified in build 24.11.2; patch released; regression testing complete,5,No,Yes,AGT-108
TKT-10021,2024-08-16,2024-08-16 00:00,12,Vantage Capital LLC,Finance,Word Copilot,Integration,P2-High,Closed,ServiceNow ticket data not accessible in Copilot Chat despite permissions granted,Connector configuration corrected; service principal permissions updated; integration re-tested and validated,5,No,Yes,AGT-115
TKT-10022,2024-07-24,2024-07-24 00:00,11,Fortress Consulting,Executive,Copilot Chat,Training,P2-High,Resolved,Onboarding documentation out of date - reflects pre-GA feature set,Custom training package scheduled; dedicated CSM assigned; delivery timeline confirmed,4,No,No,AGT-113
TKT-10023,2024-10-25,2024-10-25 00:00,13,Meridian Financial Group,Operations,Teams Premium,Login/Access,P2-High,Closed,Service principal permissions insufficient for Copilot Graph API calls,Escalated to Azure AD team; conditional access policy updated; SSO re-validated across all tenants,5,Yes,No,AGT-105
TKT-10024,2024-11-16,,,Meridian Financial Group,Sales,Outlook Copilot,Integration,P3-Medium,In Progress,Bloomberg data feed disconnected from Excel Copilot after API version upgrade,Under investigation,,No,Yes,AGT-102
TKT-10025,2024-11-08,2024-11-08 00:00,18,Fortress Consulting,Finance,Copilot Chat,API Error,P3-Medium,Resolved,Graph API returning 429 throttling errors on Copilot endpoint during batch jobs,Rate limiting increased for enterprise tier; throttling configuration updated in gateway,5,No,No,AGT-113
TKT-10026,2024-11-30,,,Fortress Consulting,Finance,PowerPoint Copilot,Performance,P4-Low,Open,Copilot response latency exceeding 8 seconds during peak trading hours 9-11am EST,Under investigation,,No,No,AGT-119
TKT-10027,2024-12-31,2025-01-02 00:00,48,Cornerstone Dynamics,Finance,Outlook Copilot,API Error,P3-Medium,Resolved,OAuth token refresh failing silently for background automation agents,Rate limiting increased for enterprise tier; throttling configuration updated in gateway,4,No,No,AGT-115
TKT-10028,2024-12-07,2024-12-14 00:00,168,Meridian Financial Group,IT,Word Copilot,Feature Request,P4-Low,Resolved,Request to add custom prompt templates at tenant level for all users,Added to product roadmap Q2 2025; customer success team to provide ETA confirmation,5,No,No,AGT-109
TKT-10029,2024-09-11,2024-09-13 00:00,64,Meridian Financial Group,Finance,Teams Premium,Data Export,P4-Low,Closed,Bulk export of meeting recaps timing out for calls over 90 minutes,Export API pagination issue resolved in latest build; hotfix deployed to production tenant,5,No,No,AGT-117
TKT-10030,2024-07-27,2024-07-28 00:00,25,Fortress Consulting,HR,Outlook Copilot,Login/Access,P3-Medium,Resolved,SSO integration failing for Azure AD federated users after tenant policy update,Escalated to Azure AD team; conditional access policy updated; SSO re-validated across all tenants,5,No,No,AGT-105
TKT-10031,2024-08-22,,,Apex Global Partners,Legal,Teams Premium,Billing,P3-Medium,Open,Enterprise agreement discount not applied to Q4 renewal invoice,Under investigation,,No,No,AGT-102
TKT-10032,2024-09-24,,,Cornerstone Dynamics,IT,Copilot Chat,Performance,P3-Medium,In Progress,Teams meeting transcription processing queue backed up 2+ hours,Under investigation,,No,No,AGT-115
TKT-10033,2024-07-20,,,Fortress Consulting,IT,Copilot Chat,Training,P4-Low,Open,Request for admin-led prompt engineering workshop for Finance team leads,Under investigation,,No,No,AGT-119
TKT-10034,2024-10-02,2024-10-02 00:00,5,Apex Global Partners,IT,Teams Premium,Training,P2-High,Resolved,"Need role-specific Copilot training tracks for Sales, Legal, and Operations",Custom training package scheduled; dedicated CSM assigned; delivery timeline confirmed,5,No,Yes,AGT-112
TKT-10035,2024-08-09,2024-08-12 00:00,84,Vantage Capital LLC,Sales,Outlook Copilot,Training,P4-Low,Resolved,"Need role-specific Copilot training tracks for Sales, Legal, and Operations",Custom training package scheduled; dedicated CSM assigned; delivery timeline confirmed,5,No,Yes,AGT-106
TKT-10036,2024-09-02,2024-09-05 00:00,92,Vantage Capital LLC,Executive,Outlook Copilot,Feature Request,P4-Low,Resolved,Request to add custom prompt templates at tenant level for all users,Added to product roadmap Q2 2025; customer success team to provide ETA confirmation,4,No,Yes,AGT-116
TKT-10037,2024-08-28,2024-08-28 00:00,11,Vantage Capital LLC,HR,Teams Premium,Integration,P2-High,Resolved,ServiceNow ticket data not accessible in Copilot Chat despite permissions granted,Connector configuration corrected; service principal permissions updated; integration re-tested and validated,4,No,No,AGT-103
TKT-10038,2024-11-15,2024-11-17 00:00,50,Fortress Consulting,Operations,Outlook Copilot,Billing,P3-Medium,Resolved,Invoice showing 340 Copilot licenses but only 287 assigned users active,Billing team issued corrected invoice; credit applied to next billing cycle; account reconciled,5,No,No,AGT-106
TKT-10039,2024-11-30,2024-12-05 00:00,135,Cornerstone Dynamics,IT,Copilot Chat,API Error,P4-Low,Resolved,OAuth token refresh failing silently for background automation agents,Rate limiting increased for enterprise tier; throttling configuration updated in gateway,4,No,No,AGT-104
TKT-10040,2024-12-29,2025-01-03 00:00,135,Apex Global Partners,HR,Copilot Chat,Bug Report,P4-Low,Resolved,Meeting recap incorrectly attributing speaker turns in multi-language calls,Root cause identified in build 24.11.2; patch released; regression testing complete,5,No,No,AGT-107
TKT-10041,2024-12-17,,,Cornerstone Dynamics,Sales,Teams Premium,Feature Request,P3-Medium,In Progress,Request for Copilot usage heatmap by department for quarterly business review,Under investigation,,No,No,AGT-110
TKT-10042,2024-08-19,,,Cornerstone Dynamics,Sales,Excel Copilot,Bug Report,P3-Medium,In Progress,Copilot Chat losing conversation context after 45-minute idle period,Under investigation,,No,No,AGT-120
TKT-10043,2024-09-16,2024-09-17 00:00,44,Fortress Consulting,Executive,Copilot Chat,API Error,P3-Medium,Resolved,REST API call to Copilot summarization endpoint returning 503 intermittently,Rate limiting increased for enterprise tier; throttling configuration updated in gateway,5,No,No,AGT-111
TKT-10044,2024-08-13,2024-08-13 00:00,18,Apex Global Partners,Sales,Word Copilot,Compliance,P3-Medium,Resolved,Retention policy not applied to Copilot-generated meeting summaries in Teams,Configuration corrected; data residency verified; compliance team signed off; incident documented for SOC2 review,5,No,No,AGT-111
TKT-10045,2024-08-27,2024-08-30 00:00,74,Apex Global Partners,Legal,Teams Premium,Performance,P4-Low,Resolved,Copilot response latency exceeding 8 seconds during peak trading hours 9-11am EST,Routing configuration updated; load balancing adjusted; performance restored to SLA within 4 hours,2,No,No,AGT-120
TKT-10046,2024-12-26,2024-12-28 00:00,57,Fortress Consulting,Finance,Outlook Copilot,Performance,P3-Medium,Closed,Excel Copilot formula generation stalling on sheets with 100k+ rows,Routing configuration updated; load balancing adjusted; performance restored to SLA within 4 hours,4,No,Yes,AGT-104
TKT-10047,2024-11-20,2024-11-20 00:00,11,Fortress Consulting,Operations,Copilot Chat,Bug Report,P2-High,Resolved,Copilot Chat losing conversation context after 45-minute idle period,Root cause identified in build 24.11.2; patch released; regression testing complete,3,No,No,AGT-117
TKT-10048,2024-11-07,,,Vantage Capital LLC,Sales,Outlook Copilot,Training,P3-Medium,Open,Onboarding documentation out of date - reflects pre-GA feature set,Under investigation,,No,No,AGT-116
TKT-10049,2024-09-09,,,Apex Global Partners,Executive,Outlook Copilot,Compliance,P3-Medium,In Progress,Copilot responses referencing documents outside user information barrier group,Under investigation,,No,No,AGT-115
TKT-10050,2024-09-20,2024-09-26 00:00,162,Apex Global Partners,HR,Teams Premium,Performance,P4-Low,Resolved,Large document summarization timing out on files over 50MB,Routing configuration updated; load balancing adjusted; performance restored to SLA within 4 hours,3,No,No,AGT-105
TKT-10051,2024-10-28,2024-10-28 00:00,17,Vantage Capital LLC,HR,PowerPoint Copilot,Integration,P2-High,Resolved,ServiceNow ticket data not accessible in Copilot Chat despite permissions granted,Connector configuration corrected; service principal permissions updated; integration re-tested and validated,5,Yes,No,AGT-119
TKT-10052,2024-07-02,2024-07-06 00:00,114,Fortress Consulting,Operations,Word Copilot,Login/Access,P4-Low,Resolved,Conditional Access policy blocking Copilot access for 47 users post-migration,Escalated to Azure AD team; conditional access policy updated; SSO re-validated across all tenants,5,No,No,AGT-118
TKT-10053,2024-09-08,2024-09-13 00:00,135,Apex Global Partners,Operations,Excel Copilot,Training,P4-Low,Closed,Request for admin-led prompt engineering workshop for Finance team leads,Custom training package scheduled; dedicated CSM assigned; delivery timeline confirmed,4,No,No,AGT-106
TKT-10054,2024-10-09,,,Fortress Consulting,Sales,Copilot Chat,Compliance,P4-Low,In Progress,Data residency policy not enforced - EU tenant data routed through US datacenter,Under investigation,,No,Yes,AGT-114
TKT-10055,2024-10-06,2024-10-10 00:00,107,Apex Global Partners,IT,Teams Premium,Data Export,P4-Low,Resolved,Power BI connector not surfacing Copilot usage analytics for governance team,Export API pagination issue resolved in latest build; hotfix deployed to production tenant,4,No,No,AGT-109
TKT-10056,2024-11-16,2024-11-16 00:00,14,Meridian Financial Group,Operations,Copilot Chat,Bug Report,P3-Medium,Resolved,Word Copilot rewrite function stripping tracked changes without user confirmation,Root cause identified in build 24.11.2; patch released; regression testing complete,5,No,Yes,AGT-101
TKT-10057,2024-08-31,2024-08-31 00:00,8,Meridian Financial Group,Sales,Excel Copilot,Integration,P2-High,Closed,Salesforce CRM connector not passing deal context to Copilot prompts,Connector configuration corrected; service principal permissions updated; integration re-tested and validated,5,No,No,AGT-115
TKT-10058,2024-12-31,2025-01-02 00:00,53,Apex Global Partners,Sales,PowerPoint Copilot,Billing,P4-Low,Resolved,Seat reallocation after M&A not reflected in current billing cycle,Billing team issued corrected invoice; credit applied to next billing cycle; account reconciled,3,No,Yes,AGT-110
TKT-10059,2024-08-20,,,Vantage Capital LLC,Operations,Outlook Copilot,API Error,P3-Medium,Open,Webhook payload for Copilot events missing required fields per new schema version,Under investigation,,No,Yes,AGT-110
TKT-10060,2024-09-27,2024-10-03 00:00,160,Fortress Consulting,Executive,Copilot Chat,API Error,P4-Low,Closed,OAuth token refresh failing silently for background automation agents,Rate limiting increased for enterprise tier; throttling configuration updated in gateway,2,No,No,AGT-101
TKT-10061,2024-12-10,,,Meridian Financial Group,Operations,Teams Premium,Bug Report,P4-Low,In Progress,Word Copilot rewrite function stripping tracked changes without user confirmation,Under investigation,,No,No,AGT-106
TKT-10062,2024-11-01,2024-11-06 00:00,143,Cornerstone Dynamics,Sales,PowerPoint Copilot,Training,P4-Low,Closed,Need recorded training sessions for async delivery to global workforce,Custom training package scheduled; dedicated CSM assigned; delivery timeline confirmed,4,No,No,AGT-103
TKT-10063,2024-11-23,2024-11-28 00:00,121,Apex Global Partners,Executive,Word Copilot,Billing,P4-Low,Resolved,Invoice showing 340 Copilot licenses but only 287 assigned users active,Billing team issued corrected invoice; credit applied to next billing cycle; account reconciled,4,No,No,AGT-106
TKT-10064,2024-11-30,,,Cornerstone Dynamics,HR,Teams Premium,Compliance,P2-High,Open,Data residency policy not enforced - EU tenant data routed through US datacenter,Under investigation,,No,No,AGT-107
TKT-10065,2024-08-31,,,Vantage Capital LLC,Operations,PowerPoint Copilot,Performance,P2-High,In Progress,Excel Copilot formula generation stalling on sheets with 100k+ rows,Under investigation,,Yes,No,AGT-101
TKT-10066,2024-09-17,2024-09-19 00:00,55,Vantage Capital LLC,Legal,Excel Copilot,Performance,P3-Medium,Closed,Batch prompt processing degraded during end-of-quarter reporting window,Routing configuration updated; load balancing adjusted; performance restored to SLA within 4 hours,5,No,No,AGT-118
TKT-10067,2024-09-03,2024-09-04 00:00,37,Vantage Capital LLC,HR,Teams Premium,Feature Request,P3-Medium,Resolved,Need bulk prompt assignment capability for onboarding new business unit (200 users),Added to product roadmap Q2 2025; customer success team to provide ETA confirmation,4,No,No,AGT-106
TKT-10068,2024-11-28,,,Vantage Capital LLC,HR,Outlook Copilot,Integration,P2-High,Open,Bloomberg data feed disconnected from Excel Copilot after API version upgrade,Under investigation,,Yes,Yes,AGT-107
TKT-10069,2024-12-29,2024-12-29 00:00,21,Apex Global Partners,HR,Copilot Chat,Billing,P2-High,Resolved,Seat reallocation after M&A not reflected in current billing cycle,Billing team issued corrected invoice; credit applied to next billing cycle; account reconciled,2,Yes,Yes,AGT-118
TKT-10070,2024-07-27,,,Apex Global Partners,Legal,Word Copilot,Billing,P3-Medium,Open,Seat reallocation after M&A not reflected in current billing cycle,Under investigation,,No,No,AGT-116
TKT-10071,2024-07-30,2024-07-30 00:00,16,Meridian Financial Group,HR,Word Copilot,Compliance,P3-Medium,Closed,DLP policy not triggering when Copilot suggests including sensitive financial data,Configuration corrected; data residency verified; compliance team signed off; incident documented for SOC2 review,2,No,Yes,AGT-105
TKT-10072,2024-07-31,2024-08-06 00:00,166,Cornerstone Dynamics,IT,Excel Copilot,Data Export,P4-Low,Closed,Bulk export of meeting recaps timing out for calls over 90 minutes,Export API pagination issue resolved in latest build; hotfix deployed to production tenant,5,No,No,AGT-108
TKT-10073,2024-10-18,,,Vantage Capital LLC,HR,PowerPoint Copilot,Training,P3-Medium,Open,Need recorded training sessions for async delivery to global workforce,Under investigation,,No,Yes,AGT-120
TKT-10074,2024-09-06,2024-09-07 00:00,44,Apex Global Partners,Legal,Excel Copilot,Performance,P4-Low,Resolved,Large document summarization timing out on files over 50MB,Routing configuration updated; load balancing adjusted; performance restored to SLA within 4 hours,3,No,Yes,AGT-106
TKT-10075,2024-07-09,2024-07-10 00:00,37,Fortress Consulting,Operations,Teams Premium,Login/Access,P3-Medium,Resolved,SAML token expiry causing session drops for users in APAC region,Escalated to Azure AD team; conditional access policy updated; SSO re-validated across all tenants,5,No,No,AGT-103
TKT-10076,2024-10-17,,,Fortress Consulting,Legal,Excel Copilot,Integration,P4-Low,Open,ServiceNow ticket data not accessible in Copilot Chat despite permissions granted,Under investigation,,No,No,AGT-109
TKT-10077,2024-11-30,2024-11-30 00:00,22,Apex Global Partners,Executive,Teams Premium,Data Export,P2-High,Resolved,Power BI connector not surfacing Copilot usage analytics for governance team,Export API pagination issue resolved in latest build; hotfix deployed to production tenant,3,Yes,No,AGT-113
TKT-10078,2024-12-01,2024-12-01 00:00,13,Vantage Capital LLC,Operations,Copilot Chat,Billing,P3-Medium,Closed,Seat reallocation after M&A not reflected in current billing cycle,Billing team issued corrected invoice; credit applied to next billing cycle; account reconciled,5,No,Yes,AGT-103
TKT-10079,2024-12-20,,,Fortress Consulting,Sales,Copilot Chat,Integration,P4-Low,Open,Salesforce CRM connector not passing deal context to Copilot prompts,Under investigation,,No,No,AGT-116
TKT-10080,2024-10-20,2024-10-22 00:00,70,Cornerstone Dynamics,Finance,PowerPoint Copilot,Training,P3-Medium,Resolved,Onboarding documentation out of date - reflects pre-GA feature set,Custom training package scheduled; dedicated CSM assigned; delivery timeline confirmed,4,No,No,AGT-111
TKT-10081,2024-11-04,,,Cornerstone Dynamics,Operations,Outlook Copilot,Performance,P4-Low,In Progress,Excel Copilot formula generation stalling on sheets with 100k+ rows,Under investigation,,No,No,AGT-102
TKT-10082,2024-10-12,2024-10-12 00:00,20,Cornerstone Dynamics,HR,Copilot Chat,Compliance,P2-High,Resolved,Retention policy not applied to Copilot-generated meeting summaries in Teams,Configuration corrected; data residency verified; compliance team signed off; incident documented for SOC2 review,4,Yes,Yes,AGT-107
TKT-10083,2024-07-14,2024-07-15 00:00,34,Vantage Capital LLC,Legal,Word Copilot,Training,P3-Medium,Resolved,Need recorded training sessions for async delivery to global workforce,Custom training package scheduled; dedicated CSM assigned; delivery timeline confirmed,3,No,No,AGT-115
TKT-10084,2024-12-29,2024-12-29 00:00,9,Fortress Consulting,Executive,Excel Copilot,Compliance,P2-High,Resolved,Retention policy not applied to Copilot-generated meeting summaries in Teams,Configuration corrected; data residency verified; compliance team signed off; incident documented for SOC2 review,1,No,No,AGT-103
TKT-10085,2024-12-13,2024-12-15 00:00,63,Meridian Financial Group,Operations,Copilot Chat,Integration,P4-Low,Closed,Bloomberg data feed disconnected from Excel Copilot after API version upgrade,Connector configuration corrected; service principal permissions updated; integration re-tested and validated,4,No,No,AGT-114
TKT-10086,2024-08-07,2024-08-12 00:00,122,Apex Global Partners,Operations,PowerPoint Copilot,Compliance,P4-Low,Resolved,Retention policy not applied to Copilot-generated meeting summaries in Teams,Configuration corrected; data residency verified; compliance team signed off; incident documented for SOC2 review,4,No,No,AGT-103
TKT-10087,2024-09-07,2024-09-08 00:00,24,Vantage Capital LLC,HR,PowerPoint Copilot,Billing,P4-Low,Resolved,Seat reallocation after M&A not reflected in current billing cycle,Billing team issued corrected invoice; credit applied to next billing cycle; account reconciled,5,No,No,AGT-116
TKT-10088,2024-11-19,2024-11-21 00:00,56,Vantage Capital LLC,HR,Teams Premium,Data Export,P3-Medium,Closed,CSV export of AI-generated reports truncating fields over 32k characters,Export API pagination issue resolved in latest build; hotfix deployed to production tenant,5,No,No,AGT-119
TKT-10089,2024-10-30,2024-10-30 00:00,16,Vantage Capital LLC,IT,Teams Premium,Bug Report,P2-High,Closed,Word Copilot rewrite function stripping tracked changes without user confirmation,Root cause identified in build 24.11.2; patch released; regression testing complete,4,Yes,Yes,AGT-105
TKT-10090,2024-10-21,,,Cornerstone Dynamics,Executive,Copilot Chat,Training,P4-Low,Open,Onboarding documentation out of date - reflects pre-GA feature set,Under investigation,,No,Yes,AGT-105
TKT-10091,2024-09-06,,,Apex Global Partners,IT,Word Copilot,Bug Report,P4-Low,Open,Copilot Chat losing conversation context after 45-minute idle period,Under investigation,,No,Yes,AGT-111
TKT-10092,2024-11-02,,,Cornerstone Dynamics,Legal,Outlook Copilot,Training,P3-Medium,Open,Request for admin-led prompt engineering workshop for Finance team leads,Under investigation,,No,No,AGT-110
TKT-10093,2024-12-28,2024-12-30 00:00,49,Vantage Capital LLC,IT,Outlook Copilot,Integration,P4-Low,Closed,ServiceNow ticket data not accessible in Copilot Chat despite permissions granted,Connector configuration corrected; service principal permissions updated; integration re-tested and validated,5,No,Yes,AGT-102
TKT-10094,2024-10-19,2024-10-21 00:00,61,Cornerstone Dynamics,HR,Teams Premium,Feature Request,P4-Low,Resolved,Need multilingual support for Copilot prompts in Japanese and German,Added to product roadmap Q2 2025; customer success team to provide ETA confirmation,4,No,No,AGT-106
TKT-10095,2024-08-31,,,Vantage Capital LLC,Sales,Outlook Copilot,Data Export,P2-High,Open,Audit log export missing Copilot interaction metadata for compliance review,Under investigation,,Yes,No,AGT-115
TKT-10096,2024-09-12,2024-09-13 00:00,28,Meridian Financial Group,Executive,Word Copilot,Billing,P3-Medium,Resolved,Enterprise agreement discount not applied to Q4 renewal invoice,Billing team issued corrected invoice; credit applied to next billing cycle; account reconciled,5,No,No,AGT-110
TKT-10097,2024-08-20,2024-08-22 00:00,57,Vantage Capital LLC,Executive,Teams Premium,Bug Report,P3-Medium,Closed,Copilot in Teams meeting generating duplicate action items for recurring calls,Root cause identified in build 24.11.2; patch released; regression testing complete,4,No,No,AGT-112
TKT-10098,2024-10-10,2024-10-11 00:00,43,Cornerstone Dynamics,IT,Outlook Copilot,API Error,P3-Medium,Resolved,Plugin manifest validation errors blocking custom Copilot extension deployment,Rate limiting increased for enterprise tier; throttling configuration updated in gateway,5,No,Yes,AGT-120
TKT-10099,2024-12-03,2024-12-07 00:00,114,Cornerstone Dynamics,Executive,Excel Copilot,Compliance,P4-Low,Resolved,Copilot responses referencing documents outside user information barrier group,Configuration corrected; data residency verified; compliance team signed off; incident documented for SOC2 review,5,No,No,AGT-104
TKT-10100,2024-10-02,2024-10-03 00:00,24,Vantage Capital LLC,IT,PowerPoint Copilot,Login/Access,P3-Medium,Resolved,SAML token expiry causing session drops for users in APAC region,Escalated to Azure AD team; conditional access policy updated; SSO re-validated across all tenants,4,No,No,AGT-106
TKT-10101,2024-11-06,2024-11-06 00:00,12,Fortress Consulting,HR,PowerPoint Copilot,Integration,P2-High,Resolved,Bloomberg data feed disconnected from Excel Copilot after API version upgrade,Connector configuration corrected; service principal permissions updated; integration re-tested and validated,5,No,No,AGT-110
TKT-10102,2024-08-27,,,Vantage Capital LLC,IT,Excel Copilot,Feature Request,P4-Low,Open,Request for Copilot usage heatmap by department for quarterly business review,Under investigation,,No,Yes,AGT-113
TKT-10103,2024-12-20,,,Meridian Financial Group,Operations,Teams Premium,Login/Access,P3-Medium,Open,Conditional Access policy blocking Copilot access for 47 users post-migration,Under investigation,,No,No,AGT-104
TKT-10104,2024-12-04,,,Fortress Consulting,Sales,Teams Premium,Integration,P3-Medium,In Progress,Salesforce CRM connector not passing deal context to Copilot prompts,Under investigation,,No,No,AGT-110
TKT-10105,2024-11-04,2024-11-04 00:00,7,Meridian Financial Group,IT,Teams Premium,Bug Report,P2-High,Resolved,Word Copilot rewrite function stripping tracked changes without user confirmation,Root cause identified in build 24.11.2; patch released; regression testing complete,5,No,No,AGT-113
TKT-10106,2024-08-09,,,Fortress Consulting,Operations,PowerPoint Copilot,Compliance,P3-Medium,In Progress,Data residency policy not enforced - EU tenant data routed through US datacenter,Under investigation,,No,No,AGT-120
TKT-10107,2024-10-03,2024-10-06 00:00,79,Cornerstone Dynamics,IT,Outlook Copilot,Bug Report,P4-Low,Closed,Copilot Chat losing conversation context after 45-minute idle period,Root cause identified in build 24.11.2; patch released; regression testing complete,5,No,No,AGT-104
TKT-10108,2024-09-09,2024-09-10 00:00,32,Cornerstone Dynamics,IT,Word Copilot,Feature Request,P3-Medium,Resolved,Require ability to restrict Copilot to approved document libraries only,Added to product roadmap Q2 2025; customer success team to provide ETA confirmation,3,No,No,AGT-120
TKT-10109,2024-11-22,2024-11-22 00:00,10,Cornerstone Dynamics,Finance,Excel Copilot,Login/Access,P2-High,Resolved,Service principal permissions insufficient for Copilot Graph API calls,Escalated to Azure AD team; conditional access policy updated; SSO re-validated across all tenants,4,No,No,AGT-108
TKT-10110,2024-08-07,,,Fortress Consulting,IT,Teams Premium,Feature Request,P4-Low,Open,Request for Copilot usage heatmap by department for quarterly business review,Under investigation,,No,No,AGT-104
TKT-10111,2024-11-28,2024-11-28 00:00,14,Cornerstone Dynamics,Executive,Excel Copilot,Login/Access,P2-High,Resolved,MFA bypass not working for service accounts in Production environment,Escalated to Azure AD team; conditional access policy updated; SSO re-validated across all tenants,4,Yes,No,AGT-114
TKT-10112,2024-10-01,,,Meridian Financial Group,Operations,Word Copilot,Training,P2-High,Open,Request for admin-led prompt engineering workshop for Finance team leads,Under investigation,,Yes,No,AGT-117
TKT-10113,2024-11-11,2024-11-15 00:00,101,Meridian Financial Group,Legal,Outlook Copilot,Integration,P4-Low,Closed,Salesforce CRM connector not passing deal context to Copilot prompts,Connector configuration corrected; service principal permissions updated; integration re-tested and validated,2,No,No,AGT-113
